"","X","Filename","LI","session","LI.mean","LI.se","LI.N","A_param1","A_param2","A_param3","A_param4","A_LI.est","A_LIest.se","A_p.interact","A_R2","A_AIC","A_BIC","B_param1","B_param2","B_param3","B_LI.est","B_LIest.se","B_p.interact","B_R2","B_AIC","B_BIC","C_param1","C_param2","C_param3","C_LI.est","C_LIest.se","C_p.interact","C_R2","C_AIC","C_BIC"
"65",65,"A2_140_D1",3.021612619,1,3.00087656473578,0.719940529815275,15,-104.816094699272,-6.32909769962628,-2.43742205613475,0.527515289843202,2.82659707963959,0.551037021791598,0,0.28122255491315,9099.8,9147.6,101.908607090301,0.457017800235718,0.36241938830626,-2.73082722569416,0.476694361682598,0,0.437700682463828,8735.2,8851.2,104.446269943366,2.20656499479928,0.36241938830529,2.73082722569507,0.296923862841303,0,0.781838691443392,7414.8,8134.7
"66",66,"A2_143_D1",0.713301288,1,0.756808534599763,0.514221707524354,15,-102.122654295049,-8.18789069749305,-2.77477839799576,0.281697954128388,1.36936790949295,0.730308384540174,0.06,0.304094878262355,8061.5,8107.7,103.271072297333,-2.15900423699182,0.0898761693209476,-1.1284578819573,0.67186752293605,0.09,0.387490617312346,7907.6,8024,105.129609201695,-1.60002212166767,0.0898761693205597,-1.1284578819572,0.356227428610646,0,0.827813078720324,6419.6,7118.9
"67",67,"A2_001_D2",5.252020895,2,5.23510572697987,0.766775946831232,15,-103.546336820751,-6.26999802047975,-2.32622220629083,-0.0987662741755937,4.42896360159604,0.627510242211617,0,0.19410920577439,6112.9,6157.4,101.174285220931,1.5026113512564,1.38120216091785,-3.96050248699679,0.568775868219637,0,0.318460588841438,5945.9,6057.1,103.006121901359,1.4514341379326,1.38120216088183,3.96050248694692,0.328654009006386,0,0.772444928427423,4911.6,5560.2
"68",68,"A2_002_D2",2.542278596,2,2.55994972206238,0.385329373902553,15,-105.512319145794,0.165787876570858,0.0285184859027815,0.0588489410029076,1.87606029508851,0.722346735742631,0.01,0.102773167368907,6711.1,6755.9,100.801274000072,3.19162063418363,0.486640886673948,-1.64187104852354,0.602409205823067,0.01,0.339507988251588,6387.7,6496.6,100.188838090267,2.99428903383316,0.486640886701828,-1.64187104856276,0.349633283091909,0,0.777510302249098,5318.5,5963
"69",69,"A2_003_D2",0.31810286,2,0.359042731077222,0.510269931189136,15,-113.32488956647,-8.32178197922092,-3.8121114084704,-0.000792153398502018,0.547794840522318,0.773883340236285,0.48,0.330063896465653,8373.7,8420.1,102.670929622593,-2.20325966769863,0.412184124527654,-1.27753613403013,0.670821486388851,0.06,0.475925264508221,8065.4,8179.6,101.612812872073,0.315013152177889,0.412184124527101,1.27753613403207,0.3744557853482,0,0.836702181024761,6682.6,7403.4
"70",70,"A2_004_D2",1.087107769,2,1.55810102426251,0.523860404059978,15,-105.215544944143,-5.53466956231265,-3.70447450943693,-0.0871768375584013,1.63746141737202,0.6448786798565,0.01,0.194396362777533,5550,5593.7,101.612190581682,-0.527208995371556,0.538316288643093,-1.37616152279548,0.572661675469278,0.02,0.3356756690965,5374.4,5484.4,100.516456869987,0.847846559426994,0.538316288632293,-1.37616152279106,0.351694465062904,0,0.749438127131301,4548,5156.4
"71",71,"A2_005_D2",4.182268213,2,4.2077275387531,0.975608150671374,15,-107.757181904209,-3.90649691217728,-1.71314770071081,0.325837024306634,3.0826154717799,1.09932348483674,0.01,0.0567538305117994,11163.6,11211.5,102.074178369374,1.06282676420057,0.571866726735657,-2.81592320567437,1.03297772550232,0.01,0.131069431196673,11046.2,11164.7,103.539601033957,1.31555328993546,0.571866726864678,-2.81592320559683,0.413656605407312,0,0.860657663119646,8403.6,9165.2
"72",72,"A2_006_D2",4.066376469,2,4.19374721691454,0.522597084127546,15,-98.8992088062428,-10.8506580799193,-5.12722414039273,0.0391758742554911,3.65023424028663,0.796751419764449,0,0.341532583754096,8766.8,8813.5,102.527102856199,-0.743884559144831,1.04260029897528,-3.26340629994111,0.692674330012456,0,0.478659705708269,8464.5,8581.7,104.140536732473,-0.403637157234056,1.04260029897487,-3.26340629994097,0.348073163549086,0,0.868355055103596,6756.5,7492.8
"73",73,"A2_007_D2",0.538627844,2,0.418837272018517,0.531537380079289,15,-98.9833758418456,-3.3415255635712,-1.28419194261223,0.010014855008367,0.642777034083639,0.600074652735724,0.28,0.132481030731905,7613.7,7659.9,101.359833918236,3.19718154184726,0.259536406422029,-0.817840345489529,0.506682267032307,0.11,0.35379988209275,7248.5,7365.1,102.120788614759,2.68174323209624,0.259536406422162,0.817840345489385,0.278073980498974,0,0.805367065698123,5841.6,6551.3
"74",74,"A2_008_D2",4.406643499,2,4.50884146704815,0.797768215340434,15,-104.73265145935,-4.43179099241682,1.37186313892264,-0.29143610649528,4.32419140092203,0.714266056817049,0,0.100778231768645,7891.9,7938.1,101.296557694072,3.1689271529402,1.4790889266472,-3.70366844925197,0.634170723957665,0,0.267505364353653,7643.8,7760.5,102.048635342676,4.2933499375529,1.47908892657684,-3.70366844935557,0.396472351271976,0,0.713702284379342,6577.8,7247.2
"75",75,"A2_009_D2",5.948797672,2,5.90875588301743,1.01879849408074,15,-99.7007381166084,-3.89845113716646,-2.53394907091728,-0.259805764608572,4.82675007590147,0.540890094152153,0,0.120106198115806,6909.5,6955.3,101.462390015375,1.29929256562405,1.76059330161561,-4.56177428170745,0.455701703342589,0,0.349007756535177,6554.6,6667.5,102.618429593034,1.89902385847508,1.76059330163082,4.56177428180216,0.323070709194273,0,0.672802723364855,5825.3,6454.5
